external_field_key,external_label,normalized_data_type,external_scope,behavior_class,progress_bucket,bucket_detail,canonical_code,mapping_status,certification_status,onboarding_readiness,evidence_ref,next_action
c_carseats_adac_rating,Автокрісла - ADAC оцінка,money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_additional_protection,Автокрісла - Додатковий захист,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_age_from,Автокрісла - Вік_від (міс),money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_age_to,Автокрісла - Вік_до (років),money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_backrest_adjustment,Автокрісла - Регулювання спинки,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_child_gender,Автокрісла - Стать дитини,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_schema_only,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_carseats_color,Автокрісла - Колір,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_cover_material,Автокрісла - Матеріал чохла,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_fixation,Автокрісла - Спосіб кріплення,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_group,Автокрісла - Група автокрісла,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
