adobe_key_or_capability,entry_kind,cluster,edition_scope,source_surface,review_status
attribute_sets,schema_metadata,attribute_schema,PaaS/Magento Open Source; live target,Admin REST + live discovery,INITIAL_RESEARCH
attribute_set_membership,schema_metadata,attribute_schema,PaaS/Magento Open Source; live target,Admin REST + live discovery,INITIAL_RESEARCH
attribute_definition,schema_metadata,attribute_schema,PaaS/Magento Open Source; live target,Admin REST + live discovery,INITIAL_RESEARCH
shared_catalog_product_membership,structured_capability,b2b_catalog_visibility,Adobe Commerce B2B,B2B Shared Catalog REST,INITIAL_RESEARCH
shared_catalog_tier_prices,domain_value,b2b_pricing,Adobe Commerce B2B,B2B Shared Catalog REST,INITIAL_RESEARCH
bundle_price_type,domain_value,bundle_composition,PaaS/Magento Open Source,Import API + Admin REST EAV/custom_attributes,THIRD_PASS_RESEARCH
bundle_sku_type,domain_value,bundle_composition,PaaS/Magento Open Source,Import API + Admin REST EAV/custom_attributes,THIRD_PASS_RESEARCH
bundle_price_view,domain_value,bundle_composition,PaaS/Magento Open Source,Import API + Admin REST EAV/custom_attributes,THIRD_PASS_RESEARCH
bundle_weight_type,domain_value,bundle_composition,PaaS/Magento Open Source,Import API + Admin REST EAV/custom_attributes,THIRD_PASS_RESEARCH
bundle_values,structured_capability,bundle_composition,PaaS/Magento Open Source,Import API bundle_values,THIRD_PASS_RESEARCH
bundle_shipment_type,domain_value,bundle_composition,PaaS/Magento Open Source,Import API + Admin REST EAV/custom_attributes,THIRD_PASS_RESEARCH
bundle_product_options,structured_capability,bundle_composition,PaaS/Magento Open Source,Admin REST extension_attributes.bundle_product_options,THIRD_PASS_RESEARCH
store_view_code,connector_context,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
attribute_set_code,connector_context,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
product_type,connector_context,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
product_websites,connector_context,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
product_online,semantic_field,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
visibility,connector_context,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
website_id,connector_context,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
attribute_set_id,connector_context,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
type_id,connector_context,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
website_assignment,connector_context,catalog_scope_and_connector_context,PaaS/Magento Open Source,Import + Admin REST,INITIAL_RESEARCH
configurable_variations,structured_capability,configurable_family,PaaS/Magento Open Source,Import API,THIRD_PASS_RESEARCH
configurable_variation_labels,structured_capability,configurable_family,PaaS/Magento Open Source,Import API,THIRD_PASS_RESEARCH
configurable_product_options,structured_capability,configurable_family,PaaS/Magento Open Source,Admin REST ConfigurableProductDataOptionInterface,THIRD_PASS_RESEARCH
configurable_product_links,structured_capability,configurable_family,PaaS/Magento Open Source,Admin REST configurable child-link API,THIRD_PASS_RESEARCH
name,semantic_field,core_product_scalar,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
description,semantic_field,core_product_scalar,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
short_description,semantic_field,core_product_scalar,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
weight,semantic_field,core_product_scalar,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
tax_class_name,domain_value,tax_configuration,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,SECOND_PASS_RESEARCH
new_from_date,semantic_field,core_product_scalar,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
new_to_date,semantic_field,core_product_scalar,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
country_of_manufacture,semantic_field,core_product_scalar,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
status,semantic_field,core_product_scalar,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
display_product_options_in,structured_capability,customizable_options,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
product_options_container,structured_capability,customizable_options,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
custom_options,structured_capability,customizable_options,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
custom_option_definition,structured_capability,customizable_options,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
downloadable_links,structured_capability,downloadable_assets,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
downloadable_samples,structured_capability,downloadable_assets,PaaS/Magento Open Source,Import + Admin REST + core GraphQL,INITIAL_RESEARCH
downloadable_link,structured_capability,downloadable_assets,PaaS/Magento Open Source,Import API + downloadable Admin/GraphQL interfaces,THIRD_PASS_RESEARCH
downloadable_sample,structured_capability,downloadable_assets,PaaS/Magento Open Source,Import API + downloadable Admin/GraphQL interfaces,THIRD_PASS_RESEARCH
additional_attributes,structured_capability,dynamic_attributes,Live target schema,Import + Admin REST + live discovery,SECOND_PASS_RESEARCH
custom_attributes,structured_capability,dynamic_attributes,Live target schema,Admin REST + GraphQL + live discovery,SECOND_PASS_RESEARCH
manufacturer,semantic_field,dynamic_attributes,Live target schema,Import + Admin REST + live discovery,INITIAL_RESEARCH
material,semantic_field,dynamic_attributes,Live target schema,Import + Admin REST + live discovery,INITIAL_RESEARCH
color,semantic_field,dynamic_attributes,Live target schema,Import + Admin REST + live discovery,INITIAL_RESEARCH
size,semantic_field,dynamic_attributes,Live target schema,Import + Admin REST + live discovery,INITIAL_RESEARCH
instructions,semantic_field,dynamic_attributes,Live target schema,Import + Admin REST + live discovery,INITIAL_RESEARCH
gtin,semantic_field,dynamic_attributes,Live target schema,Import + Admin REST + live discovery,INITIAL_RESEARCH
mpn,semantic_field,dynamic_attributes,Live target schema,Import + Admin REST + live discovery,INITIAL_RESEARCH
brand,semantic_field,dynamic_attributes,Live target schema,Import + Admin REST + live discovery,INITIAL_RESEARCH
rma_eligibility,structured_capability,fulfillment_policy,Adobe Commerce only,Experience League RMA configuration; exact Admin REST write key unresolved,QUALIFIED_RESEARCH
gift_message_available,semantic_field,gift_and_merchandising,PaaS/Magento Open Source,Import / Admin REST,INITIAL_RESEARCH
gift_wrapping_capability,structured_capability,gift_and_merchandising,Adobe Commerce only,Experience League product gift options; exact Admin REST write key unresolved,QUALIFIED_RESEARCH
giftcard_type,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
giftcard_allow_open_amount,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
giftcard_open_amount_min,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
giftcard_open_amount_max,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
giftcard_amount,structured_capability,gift_card_product,Adobe Commerce,Import API flat preset amount array,THIRD_PASS_RESEARCH
use_config_is_redeemable,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
giftcard_is_redeemable,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
use_config_lifetime,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
