product_type,marketplace,requirements,property_group,external_field,classification,parentage_level,schema_version_token,verified_at,source_url
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,fulfillment_channel_availability,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,purchasable_offer,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,condition_type,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,condition_note,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,list_price,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,product_tax_code,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,merchant_release_date,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,merchant_shipping_group,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,max_order_quantity,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,gift_options,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,main_offer_image_locator,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,other_offer_image_locator_1,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,other_offer_image_locator_2,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,other_offer_image_locator_3,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,other_offer_image_locator_4,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,offer,other_offer_image_locator_5,seller_offer_or_commercial_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,images,main_product_image_locator,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
