model,field,type_or_ref,description,verified_at,source_url
ProductTypeDefinition,metaSchema,ref:#/definitions/SchemaLink,Link to meta-schema describing the vocabulary used by the product type schema.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeDefinition,schema,ref:#/definitions/SchemaLink,Link to schema describing the attributes and requirements for the product type.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeDefinition,requirements,string,Name of the requirements set represented in this product type definition.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeDefinition,requirementsEnforced,string,Identifies if the required attributes for a requirements set are enforced by the product type definition schema. Non-enforced requirements enable structural validation of individual attributes without all of the required attributes being present (such as for partial updates).,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeDefinition,propertyGroups,object,Mapping of property group names to property groups. Property groups represent logical groupings of schema properties that can be used for display or informational purposes.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeDefinition,locale,string,Locale of the display elements contained in the product type definition.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeDefinition,marketplaceIds,array[string],Amazon marketplace identifiers for which the product type definition is applicable.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeDefinition,productType,string,The name of the Amazon product type that this product type definition applies to.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeDefinition,displayName,string,Human-readable and localized description of the Amazon product type.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeDefinition,productTypeVersion,ref:#/definitions/ProductTypeVersion,The version details for the Amazon product type.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeVersion,version,string,Version identifier.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeVersion,latest,boolean,"When true, the version indicated by the version identifier is the latest available for the Amazon product type.",2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeVersion,releaseCandidate,boolean,"When true, the version indicated by the version identifier is the prerelease (release candidate) for the Amazon product type.",2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
SchemaLink,link,object,Link to retrieve the schema.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
SchemaLink,checksum,string,"Checksum hash of the schema (Base64 MD5). Use this to verify schema contents, identify changes between schema versions, and for caching.",2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
PropertyGroup,title,string,The display label of the property group.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
PropertyGroup,description,string,The description of the property group.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
PropertyGroup,propertyNames,array[string],The names of the schema properties for the property group.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductType,name,string,The name of the Amazon product type.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductType,displayName,string,Human-readable and localized description of the Amazon product type.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductType,marketplaceIds,array[string],The Amazon marketplace identifiers for which the product type definition is available.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeList,productTypes,array[#/definitions/ProductType],A list of product types.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
ProductTypeList,productTypeVersion,string,Amazon product type version identifier.,2026-09-07,https://raw.githubusercontent.com/amzn/selling-partner-api-models/main/models/product-type-definitions-api-model/definitionsProductTypes_2020-09-01.json
