concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
adobe:alias:attribute_set,"alias:attribute set","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,attribute_set_reference,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,AttributeSchema,id_code_resolution,store_scope_not_localization,provider_controlled_or_typed,governance,adobe_commerce,4,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Attribute Set ID and code require connector-context resolution."
adobe:alias:bundle_composition,"alias:bundle composition","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,bundle_composition,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,BundleComposition,structured_surface_equivalence,store_scope_not_localization,provider_controlled_or_typed,deferred,adobe_commerce,6,not_applicable,not_applicable,not_applicable,queue:adobe_composition_mapping,supported,DEFERRED_REVIEW,"Import bulk values and REST option/link objects describe bundle composition through non-equal structures."
adobe:alias:bundle_price_type,"alias:bundle price type","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,provider_enum,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,BundleComposition,translated_bundle_setting,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,3,not_applicable,not_applicable,not_applicable,queue:adobe_composition_mapping,supported,DEFERRED_REVIEW,"REST/EAV and Import bundle price modes require value translation."
adobe:alias:bundle_price_view,"alias:bundle price view","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,provider_enum,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,BundleComposition,bundle_setting_alias,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,3,not_applicable,not_applicable,not_applicable,queue:adobe_composition_mapping,supported,DEFERRED_REVIEW,"REST/EAV and Import bundle price display modes share a surface-translated setting."
adobe:alias:bundle_shipment_type,"alias:bundle shipment type","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,provider_enum,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,BundleComposition,bundle_setting_alias,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,3,not_applicable,not_applicable,not_applicable,queue:adobe_composition_mapping,supported,DEFERRED_REVIEW,"REST/EAV and Import bundle shipment modes share a surface-translated setting."
adobe:alias:bundle_sku_type,"alias:bundle sku type","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,provider_enum,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,BundleComposition,bundle_setting_alias,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,3,not_applicable,not_applicable,not_applicable,queue:adobe_composition_mapping,supported,DEFERRED_REVIEW,"REST/EAV and Import bundle SKU modes share a domain setting with surface-specific keys."
adobe:alias:bundle_weight_type,"alias:bundle weight type","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,provider_enum,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,BundleComposition,bundle_setting_alias,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,3,not_applicable,not_applicable,not_applicable,queue:adobe_composition_mapping,supported,DEFERRED_REVIEW,"REST/EAV and Import bundle weight modes share a surface-translated setting."
adobe:alias:category_assignment,"alias:category assignment","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,category_relation,context_dependent,not_applicable,mixed_provider_representation,import_representation|read_projection|surface_defined,read_only|surface_defined|writable,provider_context,Category,id_list_object_resolution,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,5,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Import category forms, REST category links, and GraphQL categories preserve different read/write shapes."
adobe:alias:configurable_composition,"alias:configurable composition","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,configurable_composition,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,VariantComposition,structured_surface_equivalence,store_scope_not_localization,provider_controlled_or_typed,deferred,adobe_commerce,8,not_applicable,not_applicable,not_applicable,queue:adobe_composition_mapping,supported,DEFERRED_REVIEW,"Import variation/label forms and REST option/link objects are explicitly related without flattening."
adobe:alias:giftcard_amount,"alias:giftcard amount","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,money_amount,context_dependent,not_applicable,mixed_provider_representation,import_representation|read_projection|surface_defined,read_only|surface_defined|writable,provider_context,GiftCard,import_graphql_amount_translation,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,4,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Import preset amounts and GraphQL read amount objects share Gift Card semantics through explicit shape translation."
