coverage_id,snapshot_id,platform,source_file,source_row_ordinal,source_row_sha256,source_schema_version,source_surface,source_object_family,external_key,structured_path,source_context_key,parent_coverage_id,semantic_atom_key,concept_key,disposition,owner_candidate,representation_candidate,entity_level,value_shape,read_semantics,write_semantics,applicability_key,alias_of_coverage_id,evidence_reference,decision_reference,review_status,review_note
71ff38deeabea9e951c447f46166dd486177f4c828fefb827a1d753db5d02152,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,1,8835375bd2b0a634c32e3ac48ef8f83dbf94ef69b2c2d045987dd25e14502694,"Adobe Commerce 2.4.9 / services current at frozen snapshot","Admin REST + live discovery",product_capability,attribute_sets,not_applicable,"edition=PaaS/Magento Open Source; live target;cluster=attribute_schema;review=INITIAL_RESEARCH",not_applicable,adobe:atom:master:attribute_sets,adobe:attribute_schema:attribute_sets,APPLICABILITY_METADATA,AttributeSchema,schema_or_attribute_set_context,ProductOrProviderContext,scalar_or_context,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:attribute_schema:attribute_sets,not_applicable,PROVIDER_VERIFIED,"INITIAL_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
2dfa773b882b95cf1e99e90c8b76d18889dbcbd2974960c951bf747dad3e20de,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,2,19a8485d77e0e156b668b550cd3f431e0dd73d09cfb64e69e79a8dedf030f2ca,"Adobe Commerce 2.4.9 / services current at frozen snapshot","Admin REST + live discovery",product_capability,attribute_set_membership,not_applicable,"edition=PaaS/Magento Open Source; live target;cluster=attribute_schema;review=INITIAL_RESEARCH",not_applicable,adobe:atom:master:attribute_set_membership,adobe:attribute_schema:attribute_set_membership,APPLICABILITY_METADATA,AttributeSchema,schema_or_attribute_set_context,ProductOrProviderContext,scalar_or_context,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:attribute_schema:attribute_set_membership,not_applicable,PROVIDER_VERIFIED,"INITIAL_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
c5c41ba02eb9c9b8b1aba31871abafedd5bc6919f28ab359625846a3465fa3da,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,3,3539f374e7017ed525c745829f7e9803be5be2a7c6faacb7b0a11e606c1fc3c1,"Adobe Commerce 2.4.9 / services current at frozen snapshot","Admin REST + live discovery",product_capability,attribute_definition,not_applicable,"edition=PaaS/Magento Open Source; live target;cluster=attribute_schema;review=INITIAL_RESEARCH",not_applicable,adobe:atom:master:attribute_definition,adobe:attribute_schema:attribute_definition,APPLICABILITY_METADATA,AttributeSchema,schema_or_attribute_set_context,ProductOrProviderContext,scalar_or_context,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:attribute_schema:attribute_definition,not_applicable,PROVIDER_VERIFIED,"INITIAL_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
340441e4f9e7267011870c161f7c0a0c33914197b2a9152d775cd50b990c0379,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,4,526f31f5f258e8acdb55cef1dbcbdd04466eea43a4ce383dea84b43241f4221c,"Adobe Commerce 2.4.9 / services current at frozen snapshot","B2B Shared Catalog REST",product_capability,shared_catalog_product_membership,not_applicable,"edition=Adobe Commerce B2B;cluster=b2b_catalog_visibility;review=INITIAL_RESEARCH",not_applicable,adobe:atom:master:shared_catalog_product_membership,adobe:b2b_catalog_visibility:shared_catalog_product_membership,DOMAIN_CAPABILITY,SharedCatalog,provider_domain_capability,ProductOrProviderContext,provider_typed_or_structured,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:b2b_catalog_visibility:shared_catalog_product_membership,queue:adobe_b2b_shared_catalog,DEFERRED_REVIEW,"INITIAL_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
dc86288442c198b8b4b7729c104b1a3569158833d17edec2f96142949bd08830,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,5,0a32fd245780c15c6a0530dbf211f3a5f3cec67960d5764bb0f80552588b6c02,"Adobe Commerce 2.4.9 / services current at frozen snapshot","B2B Shared Catalog REST",product_capability,shared_catalog_tier_prices,not_applicable,"edition=Adobe Commerce B2B;cluster=b2b_pricing;review=INITIAL_RESEARCH",not_applicable,adobe:atom:master:shared_catalog_tier_prices,adobe:b2b_pricing:shared_catalog_tier_prices,DOMAIN_CAPABILITY,Pricing,provider_domain_capability,ProductOrProviderContext,provider_typed_or_structured,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:b2b_pricing:shared_catalog_tier_prices,queue:adobe_b2b_shared_catalog,DEFERRED_REVIEW,"INITIAL_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
41970bc56cc5bf33bd66c2677d893a6ffff392c70d3355ece51c90fd67591c8c,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,6,a650eaa6f1a28e86e3336c6956d9c965f1ac652b162c97457eed87eb00eadfca,"Adobe Commerce 2.4.9 / services current at frozen snapshot","Import API",product_capability,bundle_price_type,not_applicable,"edition=PaaS/Magento Open Source;cluster=bundle_composition;review=FIFTH_PASS_RESEARCH",not_applicable,adobe:atom:master:bundle_price_type,adobe:alias:bundle_price_type,DOMAIN_CAPABILITY,BundleComposition,provider_domain_capability,ProductOrProviderContext,provider_typed_or_structured,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:bundle_composition:bundle_price_type,queue:adobe_composition_mapping,DEFERRED_REVIEW,"FIFTH_PASS_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
f04dd1446113fec96d5ca8729a03575f89d5288d57ec93f508f15f1f61b0a998,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,7,16c58e6668dfe0e0db96bcfaeb7c179da37211ff144ec688103b4b1810e23aff,"Adobe Commerce 2.4.9 / services current at frozen snapshot","Import API",product_capability,bundle_sku_type,not_applicable,"edition=PaaS/Magento Open Source;cluster=bundle_composition;review=FIFTH_PASS_RESEARCH",not_applicable,adobe:atom:master:bundle_sku_type,adobe:alias:bundle_sku_type,DOMAIN_CAPABILITY,BundleComposition,provider_domain_capability,ProductOrProviderContext,provider_typed_or_structured,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:bundle_composition:bundle_sku_type,queue:adobe_composition_mapping,DEFERRED_REVIEW,"FIFTH_PASS_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
7f08d1c8141bd4480fe713d714089d02c4d3f481270c163173a1f2f99cc17650,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,8,a0f54e3831def4418b9c3a3e8d73ad785e68baceb829dfdfeb122448711c2808,"Adobe Commerce 2.4.9 / services current at frozen snapshot","Import API",product_capability,bundle_price_view,not_applicable,"edition=PaaS/Magento Open Source;cluster=bundle_composition;review=FIFTH_PASS_RESEARCH",not_applicable,adobe:atom:master:bundle_price_view,adobe:alias:bundle_price_view,DOMAIN_CAPABILITY,BundleComposition,provider_domain_capability,ProductOrProviderContext,provider_typed_or_structured,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:bundle_composition:bundle_price_view,queue:adobe_composition_mapping,DEFERRED_REVIEW,"FIFTH_PASS_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
4219bc430cb27417610ce8caca73a903729b1365318884c23a6829e7a04742e5,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,9,a1850e23cc7765f5282f3a2f3727501a38e45ff8440f18aeb664f044875cdae8,"Adobe Commerce 2.4.9 / services current at frozen snapshot","Import API",product_capability,bundle_weight_type,not_applicable,"edition=PaaS/Magento Open Source;cluster=bundle_composition;review=FIFTH_PASS_RESEARCH",not_applicable,adobe:atom:master:bundle_weight_type,adobe:alias:bundle_weight_type,DOMAIN_CAPABILITY,BundleComposition,provider_domain_capability,ProductOrProviderContext,provider_typed_or_structured,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:bundle_composition:bundle_weight_type,queue:adobe_composition_mapping,DEFERRED_REVIEW,"FIFTH_PASS_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
48efbf84d462fe247434409e6b7c388a0eb46458a162f1e5bda6264cd7ff45c9,adobe-v1-8c6378fea6f331c9,adobe_commerce,docs/data/adobe_commerce_v1_inventory_master.csv,10,3b176312a9937e14e7c1b6b6cc2d269a883eff97a78dd5a329b6557e06c76762,"Adobe Commerce 2.4.9 / services current at frozen snapshot","Import API bundle_values",product_capability,bundle_values,not_applicable,"edition=PaaS/Magento Open Source;cluster=bundle_composition;review=THIRD_PASS_RESEARCH",not_applicable,adobe:atom:master:bundle_values,adobe:alias:bundle_composition,DOMAIN_CAPABILITY,BundleComposition,provider_domain_capability,ProductOrProviderContext,provider_typed_or_structured,surface_defined,surface_defined,not_applicable,not_applicable,adobe-master:bundle_composition:bundle_values,queue:adobe_composition_mapping,DEFERRED_REVIEW,"THIRD_PASS_RESEARCH; Frozen Adobe master classification; no cross-platform equivalence asserted."
