concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
amazon:luggage:age_range_description,"age range description","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_age_range_description,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:amazon_taxonomy:item_type_keyword,"item type keyword","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ConnectorTaxonomy,amazon_taxonomy_context,provider_schema_localization,provider_controlled,channel,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_taxonomy_category,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:amazon_taxonomy:item_type_name,"item type name","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ConnectorTaxonomy,amazon_taxonomy_context,provider_schema_localization,provider_controlled,channel,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_taxonomy_category,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:brand,brand,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,brand,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:color,color,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_color,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:batteries_included,"batteries included","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:batteries_required,"batteries required","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:battery,battery,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:california_proposition_65,"california proposition 65","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:ghs,ghs,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
