coverage_id,snapshot_id,platform,source_file,source_row_ordinal,source_row_sha256,source_schema_version,source_surface,source_object_family,external_key,structured_path,source_context_key,parent_coverage_id,semantic_atom_key,concept_key,disposition,owner_candidate,representation_candidate,entity_level,value_shape,read_semantics,write_semantics,applicability_key,alias_of_coverage_id,evidence_reference,decision_reference,review_status,review_note
94010d07c0234053727f22478ab95dd1d4b5c4e317285340b1136534f0076e91,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,1,25ffc46b62682694e8b230378f5cdd7ec565f44dc466bd7dae02fe62b75b8e43,3.1.0,"Admin Catalog OpenAPI",product,availability,not_applicable,required_in=none;schema_evidence=product_Base_POST|product_Put|product_Full,not_applicable,bigcommerce:atom:product:availability,bigcommerce:product:availability,DOMAIN_CAPABILITY,Availability,domain_value,Product,object_or_controlled,readable,writable,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Base_POST|product_Put|product_Full,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
c95fa84b25d4e31e2467cd4af14d18120deb98522cfd9152a62b055964ea0b1a,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,2,7dfd27ed25a77bb808830b050f4dbeed38c2489e43e32294626eff8598dd4611,3.1.0,"Admin Catalog OpenAPI",product,availability_description,not_applicable,required_in=none;schema_evidence=product_Base_POST|product_Put|product_Full,not_applicable,bigcommerce:atom:product:availability_description,bigcommerce:product:availability_description,DOMAIN_CAPABILITY,Availability,domain_value,Product,string,readable,writable,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Base_POST|product_Put|product_Full,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
513077e794c9024699a5bc1f379f56e09f42d6ac69fd6c9eb3e0a48c2fa5882c,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,3,6515497b9eff684e7870c3a245b0f8c058b109b1ee2667867bb8af77f4a0d7a4,3.1.0,"Admin Catalog OpenAPI",product,base_variant_id,not_applicable,required_in=none;schema_evidence=product_Full,not_applicable,bigcommerce:atom:product:base_variant_id,bigcommerce:product:base_variant_id,EXTERNAL_IDENTITY,Connector,external_record_identity,Product,integer,readable,specialized_or_read_only,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Full,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
d0a2b8d4e8dc41934596d87232698ae9f5c5850cff995c1bc89e453b213f208f,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,4,85b9423274079bc2a8e3ea4f147706ebb7ed75d86b53b272190bc8573cd8bf2b,3.1.0,"Admin Catalog OpenAPI",product,bin_picking_number,not_applicable,required_in=none;schema_evidence=product_Base_POST|product_Put|product_Full,not_applicable,bigcommerce:atom:product:bin_picking_number,bigcommerce:bin_picking_number,REUSABLE_SEMANTIC,ProductData,provider_field,Product,string,readable,writable,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Base_POST|product_Put|product_Full,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
99a01344cd2247bfab66b62f6db87331066fbcf8722c98645654b35ac4b59721,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,5,9c3e10f8943f554a059add860ed86f145ff825c28f697bf16e5364e3e245a6dd,3.1.0,"Admin Catalog OpenAPI",product,brand_id,not_applicable,required_in=none;schema_evidence=product_Base_POST|product_Put|product_Full,not_applicable,bigcommerce:atom:product:brand_id,bigcommerce:product:brand_id,CHANNEL_SEMANTIC,Connector,channel_context,Product,integer,readable,writable,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Base_POST|product_Put|product_Full,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
55814fd33412e56e16004413748c5ee019d5b515be180f3841b04b92821ce7f5,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,6,02b406f2d197f585e9c735d9802ef722dbff21e298bf8fc92b25cd020c1718c7,3.1.0,"Admin Catalog OpenAPI",product,brand_name,not_applicable,required_in=none;schema_evidence=product_Base_POST|product_Put,not_applicable,bigcommerce:atom:product:brand_name,bigcommerce:product:brand_name,REUSABLE_SEMANTIC,ProductData,provider_field,Product,string,not_proven,writable,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Base_POST|product_Put,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
bae430f5ba04445f292cea6ef59ff3bd13d865bda21eacedba1bd8502adf14b1,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,7,1889fb862a355c934da80b2399359cbdefe77f2e6d117ab620b57688d6db4a39,3.1.0,"Admin Catalog OpenAPI",product,bulk_pricing_rules,not_applicable,required_in=none;schema_evidence=product_Base_POST|product_Put|product_Full,not_applicable,bigcommerce:atom:product:bulk_pricing_rules,bigcommerce:product:bulk_pricing_rules,DOMAIN_CAPABILITY,Pricing,domain_value,Product,list,readable,writable,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Base_POST|product_Put|product_Full,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
1396292e96e868fea23ccc1df41c23a381ec5264edf55ce4e972babba1d64741,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,8,61bb7f2c0ae63a022c64b16e3871238d4b35fa51ac0b9e9f0f306af0a4cce4b6,3.1.0,"Admin Catalog OpenAPI",product,calculated_price,not_applicable,required_in=none;schema_evidence=product_Full,not_applicable,bigcommerce:atom:product:calculated_price,bigcommerce:product:calculated_price,DERIVED_PROJECTION,Pricing,read_projection,Product,string,readable,specialized_or_read_only,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Full,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
c2026abbda2f3a02b23feffa8028b1f1b2125c3e7bf29450ba33406dc0e83a0f,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,9,d8c2f2e46abbb42d7d9b6337a8e0d19f8dd2fda49f804cfa178086bafec36c1a,3.1.0,"Admin Catalog OpenAPI",product,categories,not_applicable,required_in=none;schema_evidence=product_Base_POST|product_Put|product_Full,not_applicable,bigcommerce:atom:product:categories,bigcommerce:product:categories,DOMAIN_CAPABILITY,Category,category_relation,Product,list,readable,writable,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Base_POST|product_Put|product_Full,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
5c201e350998326f1e4d3a2975f358a89e931715f01943a5c155535e9105f635,bigcommerce-v1-ecb1456bfdfebdc6,bigcommerce,docs/data/bigcommerce_v3_product_capability_inventory.csv,10,2578a564b64a8a7f99f8f90161004c9f15dc3d86d88bb9331ade748f1593e037,3.1.0,"Admin Catalog OpenAPI",product,condition,not_applicable,required_in=none;schema_evidence=product_Base_POST|product_Put|product_Full,not_applicable,bigcommerce:atom:product:condition,bigcommerce:product:condition,REUSABLE_SEMANTIC,ProductData,provider_field,Product,object_or_controlled,readable,writable,not_applicable,not_applicable,https://docs.bigcommerce.com/openapi/admin-catalog-products.json#product_Base_POST|product_Put|product_Full,not_applicable,PROVIDER_VERIFIED,"Provider-local classification from typed inventory evidence; no cross-platform equivalence asserted."
