coverage_id,snapshot_id,platform,source_file,source_row_ordinal,source_row_sha256,source_schema_version,source_surface,source_object_family,external_key,structured_path,source_context_key,parent_coverage_id,semantic_atom_key,concept_key,disposition,owner_candidate,representation_candidate,entity_level,value_shape,read_semantics,write_semantics,applicability_key,alias_of_coverage_id,evidence_reference,decision_reference,review_status,review_note
a763b5b0387f18fa802956fe42b5dc8390a5f4bcce5f7aaa1267710cf081991e,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,1,628e6999a910585593a388aaf214d55ea28f15ffbf6823a18f943268f1df4548,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.availablePublicationsCount,not_applicable,"entry_kind=derived_projection;cluster=publication_visibility;api_version_scope=2026-07;raw_read=READ;raw_write=read-only count/projection;review=INITIAL_RESEARCH",not_applicable,shopify:atom:master:product:availablepublicationscount,shopify:master:product:availablepublicationscount,DERIVED_PROJECTION,ConnectorOrchannelpublication,read_projection,Product,projection,derived_read_projection,read_only,not_applicable,not_applicable,shopify-master:Product:availablePublicationsCount,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
38aaa7f91f83ad5177bba71e86e4c46bfbd41f73dcd000c052d72903eea35f87,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,2,5248418e60c805c2914d4e1cf745bb7119cd899cab549404d3864ab696d829ed,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.bundleComponents,not_applicable,"entry_kind=structured_capability;cluster=bundle_composition;api_version_scope=2026-07;raw_read=READ;raw_write=write through bundle/component mutations;review=INITIAL_RESEARCH",not_applicable,shopify:atom:master:product:bundlecomponents,shopify:master:product:bundlecomponents,DOMAIN_CAPABILITY,Productcomposition,structured_capability,Product,structured,provider_read_surface,provider_declared_write_not_certified,not_applicable,not_applicable,shopify-master:Product:bundleComponents,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
a9cd942ae071a3692c28102f2ab5e275b869e30becac0783eed6a5035ec06dea,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,3,f432b4f8749da4c544dbc630faefcf448f4c74cadded80185a193daa18de29f9,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.bundleConsolidatedOptions,not_applicable,"entry_kind=structured_capability;cluster=bundle_composition;api_version_scope=2026-07;raw_read=READ;raw_write=write through productBundleCreate/update surfaces;review=INITIAL_RESEARCH",not_applicable,shopify:atom:master:product:bundleconsolidatedoptions,shopify:master:product:bundleconsolidatedoptions,DOMAIN_CAPABILITY,Productcomposition,structured_capability,Product,structured,provider_read_surface,provider_declared_write_not_certified,not_applicable,not_applicable,shopify-master:Product:bundleConsolidatedOptions,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
9bd401058e3f5fd9a1910abbd06e0111f2f2b1efc826b80cbc89125077c3cc28,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,4,89a41a773d92ca6a16e842577b6ceb9acfe7d80c082d9b324321131d7bdd07ae,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.category,not_applicable,"entry_kind=connector_context;cluster=taxonomy_standard_category;api_version_scope=2026-07;raw_read=READ;raw_write=writable Product input category ID;review=INITIAL_RESEARCH",not_applicable,shopify:atom:master:product:category,shopify:master:product:category,CHANNEL_SEMANTIC,Connector,provider_channel_context,Product,context,provider_read_surface,provider_declared_write_not_certified,not_applicable,not_applicable,shopify-master:Product:category,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
a3e50f4dc6a1c98cb195b63260b13c5d8ad8973779103acf29e9f4585aa94a2a,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,5,7f88d3aa6e667ae13f62c55f0fcfdcdd4bded41c1a77747a0e639c94ee7ea6f3,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.collections,not_applicable,"entry_kind=structured_capability;cluster=collections_relations;api_version_scope=2026-07;raw_read=READ;raw_write=write through collectionsToJoin/Leave and Collection mutations;review=INITIAL_RESEARCH",not_applicable,shopify:atom:master:product:collections,shopify:master:product:collections,DOMAIN_CAPABILITY,Category,structured_capability,Product,structured,provider_read_surface,provider_declared_write_not_certified,not_applicable,not_applicable,shopify-master:Product:collections,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
b4785c94130f662b444fd57febda3a75561e7c1e69a1c86c862d7bebd24f5e09,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,6,91d09195c74e2e01ce2547791b765ebf22c42e154104846eede49cc7791247a1,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.combinedListing,not_applicable,"entry_kind=structured_capability;cluster=combined_listings;api_version_scope=2026-07;raw_read=READ;raw_write=feature-specific mutations; validate entitlement;review=INITIAL_RESEARCH",not_applicable,shopify:atom:master:product:combinedlisting,shopify:master:product:combinedlisting,DOMAIN_CAPABILITY,ProductfamilyOrcomposition,structured_capability,Product,structured,provider_read_surface,provider_declared_write_not_certified,not_applicable,not_applicable,shopify-master:Product:combinedListing,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
7d222f49fc4c6f362ee21f99e61cb2a8840183e48c21439ba3955be09e391dc4,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,7,b614ab79d1a5d882386a94a7f4452dd4c339ec2753fd6d21d40ecaa499a415a0,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.combinedListingRole,not_applicable,"entry_kind=domain_value;cluster=combined_listings;api_version_scope=2026-07;raw_read=READ;raw_write=writable on create/set surfaces where feature permits;review=INITIAL_RESEARCH",not_applicable,shopify:atom:master:product:combinedlistingrole,shopify:master:product:combinedlistingrole,DOMAIN_CAPABILITY,ProductfamilyOrcomposition,domain_value,Product,provider_typed_domain_value,provider_read_surface,provider_declared_write_not_certified,not_applicable,not_applicable,shopify-master:Product:combinedListingRole,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
edd2d1eabffeabc07cfd9488c073aa9cd5ad9c4664f587b8e174c1a9674ef561,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,8,e2dc5f4664eeb26734441c276cfde6fa25b4df44717be7f5e4e2be8a1c8e8a2a,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.compareAtPriceRange,not_applicable,"entry_kind=derived_projection;cluster=pricing_base;api_version_scope=2026-07;raw_read=READ;raw_write=derived from variants; no direct Product write;review=INITIAL_RESEARCH",not_applicable,shopify:atom:master:product:compareatpricerange,shopify:master:product:compareatpricerange,DERIVED_PROJECTION,Pricing,read_projection,Product,projection,derived_read_projection,read_only,not_applicable,not_applicable,shopify-master:Product:compareAtPriceRange,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
df1ccf279c22aad2708e0cd4fb9034da519e1fc34a8795143d75638af8ee6ff8,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,9,1c7b4e23eab77d5aee3cbe656f4b02125a1c3a8b284db150f962221d515209c1,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.contextualPricing,not_applicable,"entry_kind=derived_projection;cluster=pricing_contextual_catalogs;api_version_scope=2026-07;raw_read=READ;raw_write=read projection; writes through catalogs/price lists;review=INITIAL_RESEARCH",not_applicable,shopify:atom:master:product:contextualpricing,shopify:master:product:contextualpricing,DERIVED_PROJECTION,Pricing,read_projection,Product,projection,derived_read_projection,provider_declared_write_not_certified,not_applicable,not_applicable,shopify-master:Product:contextualPricing,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
c1bbe2e4605582a1a0ba74ca7e8785b717c1b3fd73ea325e28fda846e2de75d6,shopify-v1-7c9e31028b85d9ac,shopify,docs/data/shopify_v1_inventory_master.csv,10,3377bf66a17a766032a44c117cc97cbfe5db8465cd368c426221026583fad69f,2026-07-or-pinned-supporting-version,admin_graphql_product,Product,Product.createdAt,not_applicable,entry_kind=external_system_metadata;cluster=external_identity_metadata;api_version_scope=2026-07;raw_read=READ;raw_write=system-owned;review=INITIAL_RESEARCH,not_applicable,shopify:atom:master:product:createdat,shopify:master:product:createdat,DERIVED_PROJECTION,Connector,remote_system_metadata,Product,metadata,remote_metadata_read,read_only,not_applicable,not_applicable,shopify-master:Product:createdAt,not_applicable,PROVIDER_VERIFIED,"Frozen Shopify master classification; no cross-platform equivalence asserted."
