applicability_id,internal_code,context_type,context_key,channel_or_state,market_or_state,country_or_state,product_type_or_state,category_taxonomy_or_state,category_code_or_state,entity_level,parentage_level,operation,requirement_level,effective_from,effective_to,schema_version,verification_status,evidence_subject_key
a001,mpn,category,google:apparel:DE,google_merchant,DE,DE,apparel,google_product_taxonomy,undecided,product_variant,child,advertise,conditionally_required,undecided,open_ended,undecided,partially_verified,applicability:a001
a002,name,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,advertise,required,undecided,open_ended,unversioned,verified,applicability:a002
a003,name,global,core:name,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,partially_verified,applicability:a003
a004,gtin,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,advertise,conditionally_required,undecided,open_ended,unversioned,verified,applicability:a004
a005,brand,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,advertise,conditionally_required,undecided,open_ended,unversioned,verified,applicability:a005
a006,condition,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,advertise,required,undecided,open_ended,unversioned,verified,applicability:a006
a007,price,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,advertise,required,undecided,open_ended,unversioned,verified,applicability:a007
a008,availability,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,advertise,required,undecided,open_ended,unversioned,verified,applicability:a008
a009,identifier_exists,channel,google:identifiers,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,advertise,conditionally_required,undecided,open_ended,unversioned,partially_verified,applicability:a009
a010,image,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,advertise,recommended,undecided,open_ended,unversioned,verified,applicability:a010
a011,description,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,advertise,recommended,undecided,open_ended,unversioned,verified,applicability:a011
a012,description,global,core:description,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a012
a013,color,global,core:color,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a013
a014,size,global,core:size,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a014
a015,backorder_policy,global,core:backorder_policy,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a015
a016,sku,global,core:sku,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a016
a017,image,global,core:image,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a017
a018,url,global,core:url,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a018
a019,rozetka_category_id,channel,rozetka:category,rozetka,UA,UA,undecided,rozetka_marketplace,undecided,product,not_applicable,publish,undecided,undecided,open_ended,undecided,partially_verified,applicability:a019
a020,has_energy_consumption_details,global,eu:energy_label,not_applicable,EU,not_applicable,undecided,not_applicable,not_applicable,product,not_applicable,advertise,undecided,undecided,open_ended,undecided,needs_legal_review,applicability:a020
a021,net_weight,global,core:net_weight,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a021
a022,min_order_quantity,global,core:min_order_quantity,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a022
a023,sku,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,advertise,required,undecided,open_ended,unversioned,verified,applicability:a023
a024,brand,global,core:brand,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,not_applicable,not_applicable,undecided,open_ended,not_applicable,verified,applicability:a024
a025,mpn,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,advertise,conditionally_required,undecided,open_ended,unversioned,verified,applicability:a025
a026,mpn,channel,schema_org:all_products,schema_org,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,advertise,recommended,undecided,open_ended,unversioned,verified,applicability:a026
a027,age_group,global,core:age_group,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,not_applicable,undecided,undecided,open_ended,not_applicable,verified,applicability:a027
a028,gender,global,core:gender,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,not_applicable,undecided,undecided,open_ended,not_applicable,verified,applicability:a028
a029,age_group,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,advertise,conditionally_required,undecided,open_ended,unversioned,verified,applicability:a029
a030,gender,channel,google:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,advertise,conditionally_required,undecided,open_ended,unversioned,verified,applicability:a030
a031,sku,channel,adobe:all_products,adobe_commerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,required,undecided,open_ended,2.4.9-admin-rest,verified,applicability:a031
a032,name,channel,adobe:all_products,adobe_commerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,undecided,undecided,open_ended,2.4.9-admin-rest,verified,applicability:a032
a033,description,channel,adobe:all_products,adobe_commerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,undecided,undecided,open_ended,2.4.9-admin-rest,verified,applicability:a033
a034,short_description,channel,adobe:all_products,adobe_commerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,undecided,undecided,open_ended,2.4.9-admin-rest,verified,applicability:a034
a035,category,channel,adobe:all_products,adobe_commerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,undecided,undecided,open_ended,2.4.9-admin-rest,verified,applicability:a035
a036,status,channel,adobe:all_products,adobe_commerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,undecided,undecided,open_ended,2.4.9-admin-rest,verified,applicability:a036
a037,name,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a037
a038,description,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,recommended,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a038
a039,brand,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a039
a040,gtin,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a040
a041,mpn,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a041
a042,identifier_exists,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a042
a043,condition,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a043
