internal_code,channel,external_field,mapping_type,transformation,applicability_id,requirement_level,channel_schema_version,verification_status,evidence_subject_key
product_name,google_merchant,title,direct,not_applicable,a002,required,unversioned,verified,mapping:google_merchant:product_name:title:a002:unversioned
product_name,schema_org,name,direct,not_applicable,a003,recommended,unversioned,verified,mapping:schema_org:product_name:name:a003:unversioned
brand,google_merchant,brand,direct,not_applicable,a005,conditionally_required,unversioned,verified,mapping:google_merchant:brand:brand:a005:unversioned
brand,schema_org,brand,direct,not_applicable,a024,recommended,unversioned,verified,mapping:schema_org:brand:brand:a024:unversioned
gtin,google_merchant,gtin,direct,not_applicable,a004,conditionally_required,unversioned,verified,mapping:google_merchant:gtin:gtin:a004:unversioned
gtin,schema_org,gtin,direct,not_applicable,a004,recommended,unversioned,verified,mapping:schema_org:gtin:gtin:a004:unversioned
mpn,google_merchant,mpn,direct,not_applicable,a001,conditionally_required,unversioned,partially_verified,mapping:google_merchant:mpn:mpn:a001:unversioned
mpn,schema_org,mpn,direct,not_applicable,a001,recommended,unversioned,verified,mapping:schema_org:mpn:mpn:a001:unversioned
sku,google_merchant,id,renamed,variant_sku_as_offer_id,a023,required,unversioned,verified,mapping:google_merchant:sku:id:a023:unversioned
sku,schema_org,sku,direct,not_applicable,a016,recommended,unversioned,verified,mapping:schema_org:sku:sku:a016:unversioned
description,google_merchant,description,direct,not_applicable,a011,recommended,unversioned,verified,mapping:google_merchant:description:description:a011:unversioned
description,schema_org,description,direct,not_applicable,a012,recommended,unversioned,verified,mapping:schema_org:description:description:a012:unversioned
price,google_merchant,price,transformed,price_with_currency_from_pricing_domain,a007,required,unversioned,verified,mapping:google_merchant:price:price:a007:unversioned
price,schema_org,offers.price,transformed,nested_offer_price,a007,recommended,unversioned,verified,mapping:schema_org:price:offers.price:a007:unversioned
availability,google_merchant,availability,transformed,stock_status_to_google_enum,a008,required,unversioned,verified,mapping:google_merchant:availability:availability:a008:unversioned
condition,google_merchant,condition,direct,not_applicable,a006,required,unversioned,verified,mapping:google_merchant:condition:condition:a006:unversioned
identifier_exists,google_merchant,identifier_exists,connector_only,true_only_when_identifiers_genuinely_absent,a009,conditionally_required,unversioned,partially_verified,mapping:google_merchant:identifier_exists:identifier_exists:a009:unversioned
image,google_merchant,image_link,transformed,primary_image_url,a010,recommended,unversioned,verified,mapping:google_merchant:image:image_link:a010:unversioned
image,schema_org,image,direct,not_applicable,a017,recommended,unversioned,verified,mapping:schema_org:image:image:a017:unversioned
product_url,schema_org,url,transformed,absolute_storefront_url,a018,recommended,unversioned,verified,mapping:schema_org:product_url:url:a018:unversioned
product_name,shopify,title,direct,not_applicable,a003,required,2024-10,verified,mapping:shopify:product_name:title:a003:2024-10
description,shopify,body_html,transformed,html_body,a012,optional,2024-10,verified,mapping:shopify:description:body_html:a012:2024-10
brand,shopify,vendor,renamed,not_applicable,a024,optional,2024-10,verified,mapping:shopify:brand:vendor:a024:2024-10
gtin,shopify,variants.barcode,transformed,variant_level_barcode,a004,optional,2024-10,verified,mapping:shopify:gtin:variants.barcode:a004:2024-10
sku,shopify,variants.sku,transformed,variant_level_sku,a016,optional,2024-10,verified,mapping:shopify:sku:variants.sku:a016:2024-10
has_energy_consumption_details,schema_org,hasEnergyConsumptionDetails,direct,not_applicable,a020,optional,unversioned,needs_legal_review,mapping:schema_org:has_energy_consumption_details:hasEnergyConsumptionDetails:a020:unversioned
rozetka_category_id,rozetka,category_id,connector_only,external_taxonomy_ref,a019,undecided,undecided,partially_verified,mapping:rozetka:rozetka_category_id:category_id:a019:undecided
