internal_code,canonical_english_name,uk_label,ru_label,description,implementation_kind,storage_owner,field_definition_eligibility,binding_strategy,scope,field_group_or_state,data_type_or_state,value_shape,structure_schema_ref,is_localizable,value_localization_strategy,channel_value_strategy,inheritance_strategy,is_multi_value,unit_family,status,mvp_tier,default_enabled,verification_status,recommended_action,supports_admin_display,supports_b2b_display,supports_search,supports_filter,supports_table_column,evidence_subject_key
internal_product_id,Internal Product ID,Внутрішній ID товару,Внутренний ID товара,System-generated unique product identifier.,core_model_property,Product,yes,product,system,internal,number,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,A,true,verified,keep_as_is,true,false,false,true,true,field:internal_product_id
name,Product Name,Назва товару,Название товара,Primary commercial product title.,core_model_property,Product,yes,product,system,basic_information,text,scalar,not_applicable,false,not_localizable,channel_override_allowed,none,false,not_applicable,active,A,true,verified,keep_as_is,true,true,true,true,true,field:name
brand,Brand,Бренд,Бренд,Brand or manufacturer name.,core_model_property,Product,yes,product,system,basic_information,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,A,true,verified,keep_as_is,true,true,true,true,true,field:brand
category,Category,Категорія,Категория,Workspace category tree relation.,relation,Category,no,product,system,basic_information,not_applicable,reference,not_applicable,false,not_localizable,not_applicable,none,false,not_applicable,active,A,true,verified,relation_not_field,true,true,false,true,true,field:category
description,Description,Опис,Описание,Detailed product description.,dynamic_field,FieldDefinition,yes,product,system,descriptions,long_text,scalar,not_applicable,false,not_localizable,channel_override_allowed,none,false,not_applicable,active,A,true,verified,keep_as_is,true,true,true,false,false,field:description
short_description,Short Description,Короткий опис,Краткое описание,Brief product summary for listings.,dynamic_field,FieldDefinition,yes,product,platform_library,descriptions,text,scalar,not_applicable,true,locale_value,channel_override_allowed,none,false,not_applicable,proposed,B,false,partially_verified,add_to_platform_library,true,true,true,false,false,field:short_description
status,Product Status,Статус,Статус,Product lifecycle active flag.,core_model_property,Product,yes,product,system,basic_information,boolean,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,A,true,verified,keep_as_is,true,false,false,true,true,field:status
url,Product URL,URL товару,URL товара,Primary absolute customer-facing product page URL.,core_model_property,Product,yes,product,system,seo,url,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,B,false,verified,keep_as_is,true,false,false,false,false,field:url
merchant_type,Merchant Type,Внутрішній тип товару,Внутренний тип товара,Internal product type classification tag.,core_model_property,Product,yes,product,system,basic_information,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,B,false,verified,keep_as_is,true,false,false,true,true,field:merchant_type
onec_guid,1C GUID,GUID 1С,GUID 1С,"Legacy 1C ERP product identifier. Not a generic Product or System Attribute and not a FieldMapping concern. Physical products.onec_guid is connector-specific external-identity technical debt that must migrate behind the account-scoped ExternalRecordLink boundary. Do not create a FieldDefinition.",external_identity,ExternalRecordLink,no,not_applicable,not_applicable,not_applicable,not_applicable,scalar,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,false,not_applicable,active,not_applicable,not_applicable,verified,external_identity_only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,field:onec_guid
sku,SKU,SKU,SKU,Stock keeping unit / article code.,core_model_property,ProductVariant,yes,product_variant,system,identifiers,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,A,true,verified,keep_as_is,true,true,true,true,true,field:sku
gtin,GTIN,GTIN,GTIN,Global Trade Item Number (EAN/UPC).,core_model_property,ProductVariant,yes,product_variant,system,identifiers,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,A,true,verified,keep_as_is,true,true,true,true,false,field:gtin
barcode_box,Box Barcode,Штрихкод коробки,Штрихкод коробки,Trade unit / case barcode.,core_model_property,Product,yes,product,system,identifiers,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,C,false,verified,keep_as_is,true,false,false,false,false,field:barcode_box
mpn,Manufacturer Part Number,Артикул виробника,Артикул производителя,Manufacturer-assigned part number; may coexist with GTIN.,dynamic_field,FieldDefinition,yes,product_variant,platform_library,identifiers,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,B,false,verified,add_to_platform_library,true,true,true,true,false,field:mpn
identifier_exists,Identifier Exists Flag,Прапор наявності ідентифікаторів,Флаг наличия идентификаторов,Google connector flag when manufacturer identifiers truly do not exist.,connector_only,ConnectorMapping,no,not_applicable,not_applicable,not_applicable,not_applicable,scalar,not_applicable,not_applicable,not_applicable,connector_transformation_only,not_applicable,false,not_applicable,proposed,not_applicable,not_applicable,partially_verified,connector_mapping_only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,field:identifier_exists
price,Price,Ціна,Цена,Public selling price resolved from PriceListItem.,pricing_domain,PriceListItem,no,product_variant,system,pricing,money,money,not_applicable,false,not_localizable,not_applicable,domain_owned,false,not_applicable,active,A,true,verified,covered_by_existing_domain,true,true,false,true,true,field:price
sale_price,Sale Price,Ціна зі знижкою,Цена со скидкой,Promotional price from pricing domain.,pricing_domain,PriceListItem,no,product_variant,system,pricing,money,money,not_applicable,false,not_localizable,not_applicable,domain_owned,false,not_applicable,active,B,false,verified,covered_by_existing_domain,true,true,false,false,false,field:sale_price
cost_price,Cost Price,Собівартість,Себестоимость,Internal cost for margin; never exposed to B2B by default.,pricing_domain,PriceListItem,no,product_variant,system,pricing,money,money,not_applicable,false,not_localizable,not_applicable,domain_owned,false,not_applicable,active,B,false,verified,covered_by_existing_domain,true,false,false,false,false,field:cost_price
availability,Availability,Наявність,Наличие,Cached available stock quantity.,inventory_domain,calculated,no,product_variant,system,availability,number,scalar,not_applicable,false,not_localizable,not_applicable,domain_owned,false,not_applicable,active,A,true,verified,covered_by_existing_domain,true,true,false,true,true,field:availability
image,Main Image,Головне зображення,Главное изображение,Primary variant image reference.,media_domain,MediaAsset,no,product_variant,system,images_media,image,media_collection,not_applicable,false,not_localizable,channel_override_allowed,domain_owned,false,not_applicable,active,B,false,verified,covered_by_existing_domain,true,true,false,false,false,field:image
images,Product Images,Зображення товару,Изображения товара,Product-level image gallery JSON.,media_domain,Product,no,product,system,images_media,image,media_collection,not_applicable,false,not_localizable,channel_override_allowed,none,true,not_applicable,active,B,false,verified,covered_by_existing_domain,true,true,false,false,false,field:images
condition,Condition,Стан,Состояние,Product condition enum (new/used/refurbished).,dynamic_field,FieldDefinition,yes,product_variant,platform_library,basic_information,select,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,proposed,B,false,verified,add_to_platform_library,true,true,false,true,false,field:condition
unit,Unit of Measure,Одиниця виміру,Единица измерения,"Selling unit (pcs, kg, m).",core_model_property,Product,yes,product,system,logistics,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,B,false,verified,keep_as_is,true,true,false,false,false,field:unit
min_order_quantity,Minimum Order Quantity,Мін. кількість замовлення,Мин. количество заказа,Minimum purchasable quantity.,core_model_property,Product,yes,product,system,b2b,number,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,A,true,verified,keep_as_is,true,true,false,false,false,field:min_order_quantity
order_step,Order Step,Крок замовлення,Шаг заказа,Quantity increment step.,core_model_property,Product,yes,product,system,b2b,number,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,A,true,verified,keep_as_is,true,true,false,false,false,field:order_step
