shopify_object,shopify_key_or_capability,entry_kind,cluster,api_version_scope,source_surface,read_semantics,write_semantics,platform_owner_candidate,representation_candidate,review_status
Product,availablePublicationsCount,derived_projection,publication_visibility,2026-07,admin_graphql_product,READ,read-only count/projection,Connector/channel publication,derived count,INITIAL_RESEARCH
Product,bundleComponents,structured_capability,bundle_composition,2026-07,admin_graphql_product,READ,write through bundle/component mutations,Product composition,bundle component relationship,INITIAL_RESEARCH
Product,bundleConsolidatedOptions,structured_capability,bundle_composition,2026-07,admin_graphql_product,READ,write through productBundleCreate/update surfaces,Product composition,consolidated option structure,INITIAL_RESEARCH
Product,category,connector_context,taxonomy_standard_category,2026-07,admin_graphql_product,READ,writable Product input category ID,Taxonomy/channel mapping,standard taxonomy node reference,INITIAL_RESEARCH
Product,collections,structured_capability,collections_relations,2026-07,admin_graphql_product,READ,write through collectionsToJoin/Leave and Collection mutations,Category/relations,collection membership,INITIAL_RESEARCH
Product,combinedListing,structured_capability,combined_listings,2026-07,admin_graphql_product,READ,feature-specific mutations; validate entitlement,Product family/composition,combined listing relationship,INITIAL_RESEARCH
Product,combinedListingRole,domain_value,combined_listings,2026-07,admin_graphql_product,READ,writable on create/set surfaces where feature permits,Product family/composition,combined listing role,INITIAL_RESEARCH
Product,compareAtPriceRange,derived_projection,pricing_base,2026-07,admin_graphql_product,READ,derived from variants; no direct Product write,Pricing,aggregate price range,INITIAL_RESEARCH
Product,contextualPricing,derived_projection,pricing_contextual_catalogs,2026-07,admin_graphql_product,READ,read projection; writes through catalogs/price lists,Pricing,contextual aggregate,INITIAL_RESEARCH
Product,createdAt,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_product,READ,system-owned,Connector identity/metadata,remote timestamp,INITIAL_RESEARCH
Product,defaultCursor,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_product,READ,system-owned,Connector pagination,cursor,INITIAL_RESEARCH
Product,description,derived_projection,product_content,2026-07,admin_graphql_product,READ,derived plain-text representation; canonical write via descriptionHtml,Product fields,plain text projection,INITIAL_RESEARCH
Product,descriptionHtml,semantic_field,product_content,2026-07,admin_graphql_product,READ,writable Product create/update,Product fields,rich description,INITIAL_RESEARCH
Product,events,derived_projection,event_history,2026-07,admin_graphql_product,READ,system event stream,Connector audit metadata,event connection,INITIAL_RESEARCH
Product,featuredMedia,derived_projection,media,2026-07,admin_graphql_product,READ,derived chosen media,Media,featured-media projection,INITIAL_RESEARCH
Product,feedback,derived_projection,restrictions_feedback,2026-07,admin_graphql_product,READ,system/app feedback,Connector readiness,feedback projection,INITIAL_RESEARCH
Product,giftCardSettings,structured_capability,gift_card_product,2026-07,admin_graphql_product,READ,gift-card specific mutation/input; validate field semantics,Product/gift-card capability,gift-card settings,INITIAL_RESEARCH
Product,giftCardTemplateSuffix,connector_context,gift_card_product,2026-07,admin_graphql_product,READ,writable Product input,Channel presentation,gift-card template,INITIAL_RESEARCH
Product,handle,connector_context,seo_routing,2026-07,admin_graphql_product,READ,writable Product input; redirectNewHandle controls redirect,Connector/channel routing,Shopify slug/handle,INITIAL_RESEARCH
Product,hasOnlyDefaultVariant,derived_projection,variant_options,2026-07,admin_graphql_product,READ,derived,Product variants,default-variant projection,INITIAL_RESEARCH
Product,hasOutOfStockVariants,derived_projection,inventory_locations_quantities,2026-07,admin_graphql_product,READ,derived,Inventory,aggregate availability projection,INITIAL_RESEARCH
Product,hasVariantsThatRequiresComponents,derived_projection,bundle_composition,2026-07,admin_graphql_product,READ,derived from variants,Product composition,bundle requirement aggregate,INITIAL_RESEARCH
Product,id,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_product,READ,system-owned GID,External identity,Shopify GID,INITIAL_RESEARCH
Product,inCollection,derived_projection,collections_relations,2026-07,admin_graphql_product,READ,read query helper,Category/relations,membership query projection,INITIAL_RESEARCH
Product,isGiftCard,derived_projection,gift_card_product,2026-07,admin_graphql_product,READ,derived/type indicator; create via giftCard input,Product/gift-card capability,gift-card type projection,INITIAL_RESEARCH
Product,legacyResourceId,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_product,READ,system-owned,External identity,legacy numeric ID,INITIAL_RESEARCH
Product,media,structured_capability,media,2026-07,admin_graphql_product,READ,write through media/variant association mutations,Media,Product media relationship,INITIAL_RESEARCH
Product,mediaCount,derived_projection,media,2026-07,admin_graphql_product,READ,read-only count,Media,derived count,INITIAL_RESEARCH
Product,metafield,structured_capability,dynamic_metafields,2026-07,admin_graphql_product,READ,write via metafieldsSet/owner mutations,Field Dictionary / connector schema,single dynamic field lookup,INITIAL_RESEARCH
Product,metafields,structured_capability,dynamic_metafields,2026-07,admin_graphql_product,READ,write via metafieldsSet/owner mutations,Field Dictionary / connector schema,dynamic field collection,INITIAL_RESEARCH
Product,onlineStorePreviewUrl,derived_projection,seo_routing,2026-07,admin_graphql_product,READ,system-derived,Channel presentation,preview URL,INITIAL_RESEARCH
Product,onlineStoreUrl,derived_projection,seo_routing,2026-07,admin_graphql_product,READ,system-derived from handle/domain,Channel presentation,absolute URL projection,INITIAL_RESEARCH
