taxonomy_section,taxonomy_id,name,handle,friendly_id,controlled_value_count,values_from,sorting,source_commit,source_blob,review_status
base_attributes,1,Color,color,color,19,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,3,Pattern,pattern,pattern,51,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,4,Material,material,material,82,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,5,Activity,activity,activity,65,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,15,Sleeve length type,sleeve-length-type,sleeve_length_type,8,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,17,Cup size,cup-size,cup_size,22,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,30,Age group,age-group,age_group,12,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,32,Neckline,neckline,neckline,18,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,35,Fit,fit,fit,8,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,37,Waist rise,waist-rise,waist_rise,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,41,Best uses,best-uses,best_uses,18,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,50,Accessory size,accessory-size,accessory_size,23,,custom,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,60,Jewelry type,jewelry-type,jewelry_type,3,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,73,Shape,shape,shape,22,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,77,Lens polarization,lens-polarization,lens_polarization,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,80,Closure type,closure-type,closure_type,22,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,87,Shoe size,shoe-size,shoe_size,131,,custom,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,98,Chain link type,chain-link-type,chain_link_type,26,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,105,Ring size,ring-size,ring_size,141,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,108,Clasp type,clasp-type,clasp_type,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,128,Heel height type,heel-height-type,heel_height_type,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,134,Theme,theme,theme,42,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,837,Target gender,target-gender,target_gender,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,843,Usage type,usage-type,usage_type,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,844,Attachment options,attachment-options,attachment_options,5,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,845,Device interface,device-interface,device_interface,68,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,846,Shoe fit,shoe-fit,shoe_fit,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,847,Toe style,toe-style,toe_style,10,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,894,Absorbency level,absorbency-level,absorbency_level,7,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1178,Pants length type,pants-length-type,pants_length_type,7,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1190,Skirt/Dress length type,skirt-dress-length-type,skirt/dress_length_type,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1191,Bra strap type,bra-strap-type,bra_strap_type,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1192,Bra support level,bra-support-level,bra_support_level,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1193,Top length type,top-length-type,top_length_type,5,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1194,Underwear style,underwear-style,underwear_style,14,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1195,Bra closure type,bra-closure-type,bra_closure_type,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1196,Bra coverage,bra-coverage,bra_coverage,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1197,Shapewear support level,shapewear-support-level,shapewear_support_level,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1198,Nightgown style,nightgown-style,nightgown_style,3,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1199,Hair type,hair-type,hair_type,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1200,Suspender style,suspender-style,suspender_style,3,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1201,Watch display,watch-display,watch_display,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1202,Watch accessory style,watch-accessory-style,watch_accessory_style,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1203,Occasion style,occasion-style,occasion_style,3,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1204,Boot style,boot-style,boot_style,22,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1205,Mounting type,mounting-type,mounting_type,12,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1206,Ball size,ball-size,ball_size,14,,custom,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1208,Hand side,hand-side,hand_side,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1209,Bat standard,bat-standard,bat_standard,12,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1210,Swing weighting,swing-weighting,swing_weighting,3,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1212,Compatible ball type,compatible-ball-type,compatible_ball_type,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1214,Suitable space,suitable-space,suitable_space,3,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1216,Grip type,grip-type,grip_type,12,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1217,Player position,player-position,player_position,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1218,Recommended skill level,recommended-skill-level,recommended_skill_level,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1219,Fastener type,fastener-type,fastener_type,3,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1220,Blade curve,blade-curve,blade_curve,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1221,Power source,power-source,power_source,28,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1222,Material hardness,material-hardness,material_hardness,8,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1223,Dynamic level,dynamic-level,dynamic_level,8,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1227,Racket gauge,racket-gauge,racket_gauge,13,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1228,Swing style,swing-style,swing_style,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1229,Resistance system,resistance-system,resistance_system,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1230,Resistance level,resistance-level,resistance_level,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1231,Compatible bench positions,compatible-bench-positions,compatible_bench_positions,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1232,Compatible exercises,compatible-exercises,compatible_exercises,10,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1233,Weight bar activity,weight-bar-activity,weight_bar_activity,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1234,Weight bar type,weight-bar-type,weight_bar_type,7,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1235,Compatible weight lifting accessory,compatible-weight-lifting-accessory,compatible_weight_lifting_accessory,3,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1236,Lock type,lock-type,lock_type,15,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1237,J-cup type,j-cup-type,j_cup_type,5,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1238,Pull-up bar,pull-up-bar,pull_up_bar,5,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1239,Cue style,cue-style,cue_style,7,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1240,Cue type,cue-type,cue_type,9,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1241,Cue wrap,cue-wrap,cue_wrap,12,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1242,Joint style,joint-style,joint_style,17,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1244,Light temperature,light-temperature,light_temperature,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1245,Games included,games-included,games_included,25,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1248,Display technology,display-technology,display_technology,31,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1249,Water sport,water-sport,water_sport,8,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1250,Fin pocket type,fin-pocket-type,fin_pocket_type,3,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1251,Blade type,blade-type,blade_type,5,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1253,Kitesurfing style,kitesurfing-style,kitesurfing_style,8,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1254,Fin profile,fin-profile,fin_profile,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1255,Board concave shape,board-concave-shape,board_concave_shape,7,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1256,Board profile,board-profile,board_profile,4,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1257,Rocker type,rocker-type,rocker_type,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1258,Anchor type,anchor-type,anchor_type,7,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1259,Bedding size,bedding-size,bedding_size,10,,custom,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1261,Product certifications & standards,product-certifications-standards,product_certifications_standards,56,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1263,Knife type,knife-type,knife_type,21,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1264,Outdoor walking activity,outdoor-walking-activity,outdoor_walking_activity,5,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1266,Carabiner gate type,carabiner-gate-type,carabiner_gate_type,9,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1267,Attachment type,attachment-type,attachment_type,8,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1268,Climbing activity,climbing-activity,climbing_activity,5,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1269,Harness closure type,harness-closure-type,harness_closure_type,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1270,Compatible bike type,compatible-bike-type,compatible_bike_type,6,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
base_attributes,1271,Vehicle placement,vehicle-placement,vehicle_placement,7,,,ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66,455818cf3a5ae41f1db23c244adf1b5694691b88,INITIAL_RESEARCH
